Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ASALB,Canada,New Brunswick,04,,
ASALB,Canada,Quebec,10,,
ASALB,United States,Maine,23,,
ASALB,United States,Maine,23,Aroostook,003
ASALB,United States,Maine,23,Kennebec,011
ASALB,United States,New Hampshire,33,,
ASALB,United States,New Hampshire,33,Grafton,009
ASALB,United States,New Hampshire,33,Sullivan,019
ASALB,United States,Vermont,50,,
ASALB,United States,Vermont,50,Caledonia,005
ASALB,United States,Vermont,50,Orleans,019
ASALB,United States,Vermont,50,Windham,025
ASALB,Canada,Newfoundland,NF,,
