Distribution Data
Symbol,Country,State,State FIP,County,County FIP
EPCAL,United States,Arizona,04,,
EPCAL,United States,Arizona,04,Cochise,003
EPCAL,United States,Arizona,04,Coconino,005
EPCAL,United States,Arizona,04,Gila,007
EPCAL,United States,Arizona,04,Graham,009
EPCAL,United States,Arizona,04,Greenlee,011
EPCAL,United States,Arizona,04,Maricopa,013
EPCAL,United States,Arizona,04,Mohave,015
EPCAL,United States,Arizona,04,Pima,019
EPCAL,United States,Arizona,04,Santa Cruz,023
EPCAL,United States,Arizona,04,Yavapai,025
EPCAL,United States,California,06,,
EPCAL,United States,California,06,Alpine,003
EPCAL,United States,California,06,Amador,005
EPCAL,United States,California,06,Butte,007
EPCAL,United States,California,06,Calaveras,009
EPCAL,United States,California,06,Colusa,011
EPCAL,United States,California,06,Del Norte,015
EPCAL,United States,California,06,El Dorado,017
EPCAL,United States,California,06,Fresno,019
EPCAL,United States,California,06,Glenn,021
EPCAL,United States,California,06,Humboldt,023
EPCAL,United States,California,06,Inyo,027
EPCAL,United States,California,06,Kern,029
EPCAL,United States,California,06,Lake,033
EPCAL,United States,California,06,Lassen,035
EPCAL,United States,California,06,Los Angeles,037
EPCAL,United States,California,06,Madera,039
EPCAL,United States,California,06,Mariposa,043
EPCAL,United States,California,06,Mendocino,045
EPCAL,United States,California,06,Mono,051
EPCAL,United States,California,06,Nevada,057
EPCAL,United States,California,06,Placer,061
EPCAL,United States,California,06,Plumas,063
EPCAL,United States,California,06,Riverside,065
EPCAL,United States,California,06,San Bernardino,071
EPCAL,United States,California,06,San Diego,073
EPCAL,United States,California,06,Santa Barbara,083
EPCAL,United States,California,06,Sierra,091
EPCAL,United States,California,06,Stanislaus,099
EPCAL,United States,California,06,Trinity,105
EPCAL,United States,California,06,Tulare,107
EPCAL,United States,California,06,Tuolumne,109
EPCAL,United States,California,06,Ventura,111
EPCAL,United States,Nevada,32,,
EPCAL,United States,Nevada,32,Washoe,031
EPCAL,United States,New Mexico,35,,
EPCAL,United States,New Mexico,35,Grant,017
EPCAL,United States,New Mexico,35,Hidalgo,023
EPCAL,United States,Oregon,41,,
EPCAL,United States,Oregon,41,Curry,015
EPCAL,United States,Oregon,41,Jackson,029
EPCAL,United States,Oregon,41,Josephine,033
EPCAL,United States,Oregon,41,Klamath,035
