Distribution Data
Symbol,Country,State,State FIP,County,County FIP
PATE9,United States,Texas,48,,
PATE9,United States,Texas,48,Bandera,019
PATE9,United States,Texas,48,Bexar,029
PATE9,United States,Texas,48,Blanco,031
PATE9,United States,Texas,48,Brewster,043
PATE9,United States,Texas,48,Brown,049
PATE9,United States,Texas,48,Burnet,053
PATE9,United States,Texas,48,Crockett,105
PATE9,United States,Texas,48,Dallas,113
PATE9,United States,Texas,48,Dimmit,127
PATE9,United States,Texas,48,Duval,131
PATE9,United States,Texas,48,Edwards,137
PATE9,United States,Texas,48,Gillespie,171
PATE9,United States,Texas,48,Hays,209
PATE9,United States,Texas,48,Hidalgo,215
PATE9,United States,Texas,48,Jim Hogg,247
PATE9,United States,Texas,48,Jim Wells,249
PATE9,United States,Texas,48,Kendall,259
PATE9,United States,Texas,48,Kerr,265
PATE9,United States,Texas,48,Kinney,271
PATE9,United States,Texas,48,Kleberg,273
PATE9,United States,Texas,48,La Salle,283
PATE9,United States,Texas,48,Live Oak,297
PATE9,United States,Texas,48,Llano,299
PATE9,United States,Texas,48,Mason,319
PATE9,United States,Texas,48,Maverick,323
PATE9,United States,Texas,48,McMullen,311
PATE9,United States,Texas,48,Medina,325
PATE9,United States,Texas,48,Pecos,371
PATE9,United States,Texas,48,San Patricio,409
PATE9,United States,Texas,48,Starr,427
PATE9,United States,Texas,48,Sterling,431
PATE9,United States,Texas,48,Sutton,435
PATE9,United States,Texas,48,Terrell,443
PATE9,United States,Texas,48,Travis,453
PATE9,United States,Texas,48,Uvalde,463
PATE9,United States,Texas,48,Val Verde,465
PATE9,United States,Texas,48,Webb,479
PATE9,United States,Texas,48,Wilson,493
PATE9,United States,Texas,48,Zapata,505
