Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ALHO4,United States,New Mexico,35,,
ALHO4,United States,New Mexico,35,Eddy,015
ALHO4,United States,Texas,48,,
ALHO4,United States,Texas,48,Atascosa,013
ALHO4,United States,Texas,48,Bexar,029
ALHO4,United States,Texas,48,Brewster,043
ALHO4,United States,Texas,48,Burnet,053
ALHO4,United States,Texas,48,Comal,091
ALHO4,United States,Texas,48,Crockett,105
ALHO4,United States,Texas,48,Culberson,109
ALHO4,United States,Texas,48,Edwards,137
ALHO4,United States,Texas,48,Hays,209
ALHO4,United States,Texas,48,Jeff Davis,243
ALHO4,United States,Texas,48,Pecos,371
ALHO4,United States,Texas,48,Presidio,377
ALHO4,United States,Texas,48,Sutton,435
ALHO4,United States,Texas,48,Terrell,443
ALHO4,United States,Texas,48,Travis,453
ALHO4,United States,Texas,48,Uvalde,463
ALHO4,United States,Texas,48,Val Verde,465
